Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.30,-.05,-.40,-.14,-.01,-.78,-.51,-.31,-.16,-.12,-.04,.05,.69
1881,-.09,-.19,.00,-.36,.09,-.07,-.83,-.46,-.23,.09,.09,-.05,-.07,.62
1882,-.11,-.22,-.01,-.31,-.06,.01,-1.33,-.28,-.17,-.06,-.06,.01,.04,.65
1883,-.18,-.29,-.07,-.35,-.18,-.01,-.11,-.56,-.28,-.19,-.16,-.04,.07,.52
1884,-.29,-.43,-.15,-.60,-.16,-.14,-1.24,-.65,-.48,-.14,-.18,-.19,-.02,.67
1885,-.34,-.44,-.24,-.65,-.15,-.27,-1.45,-.69,-.47,-.08,-.21,-.33,-.15,.84
1886,-.32,-.44,-.20,-.57,-.21,-.21,-1.53,-.51,-.41,-.23,-.19,-.20,-.20,.61
1887,-.36,-.44,-.29,-.52,-.31,-.28,-1.70,-.51,-.30,-.31,-.31,-.27,-.26,.34
1888,-.18,-.24,-.12,-.42,.08,-.28,-1.25,-.45,-.25,.05,.12,-.31,-.22,.18
1889,-.11,-.18,-.04,-.29,.06,-.16,-.63,-.24,-.28,.00,.13,-.15,-.15,.47
1890,-.36,-.39,-.32,-.46,-.38,-.22,-1.08,-.57,-.28,-.29,-.48,-.17,-.27,.17
1891,-.23,-.26,-.19,-.42,-.09,-.21,-1.05,-.34,-.37,-.01,-.17,-.18,-.23,-.13
1892,-.28,-.40,-.15,-.43,-.31,-.08,-1.06,-.66,-.18,-.35,-.27,.02,-.21,.11
1893,-.31,-.48,-.15,-.50,-.38,-.04,-.60,-.54,-.47,-.44,-.32,.07,-.20,-.02
1894,-.31,-.39,-.22,-.32,-.35,-.23,-.91,-.33,-.19,-.50,-.20,-.14,-.35,-.35
1895,-.23,-.31,-.15,-.40,-.09,-.25,-.64,-.53,-.27,-.16,-.01,-.19,-.32,-.56
1896,-.12,-.20,-.03,-.35,.08,-.15,-.85,-.38,-.22,.03,.13,-.15,-.13,.28
1897,-.11,-.17,-.05,-.35,.15,-.23,-.53,-.47,-.25,.11,.19,-.18,-.27,.43
1898,-.28,-.29,-.26,-.35,-.23,-.26,-1.14,-.25,-.24,-.20,-.27,-.27,-.21,.40
1899,-.18,-.21,-.14,-.23,-.13,-.18,-.98,-.09,-.15,-.17,-.09,-.15,-.22,.61
1900,-.09,-.10,-.07,-.20,.15,-.29,-.51,-.17,-.16,.07,.24,-.28,-.29,.29
1901,-.16,-.13,-.18,-.15,-.05,-.30,-.31,-.11,-.15,-.08,-.03,-.27,-.33,.28
